"Statistic Label","Census Year","Sex","County","Marital Status","UNIT","VALUE"
"Population","2016","Males","Carlow","Single","Number","15971"
"Population","2016","Males","Carlow","Married","Number","10660"
"Population","2016","Males","Carlow","Separated","Number","696"
"Population","2016","Males","Carlow","Divorced","Number","557"
"Population","2016","Males","Carlow","Widowed","Number","581"
"Population","2016","Males","Carlow","Total","Number","28465"
"Population","2016","Males","Cavan","Single","Number","21004"
"Population","2016","Males","Cavan","Married","Number","15044"
"Population","2016","Males","Cavan","Separated","Number","802"
"Population","2016","Males","Cavan","Divorced","Number","731"
"Population","2016","Males","Cavan","Widowed","Number","749"
"Population","2016","Males","Cavan","Total","Number","38330"
"Population","2016","Males","Clare","Single","Number","31462"
"Population","2016","Males","Clare","Married","Number","23520"
"Population","2016","Males","Clare","Separated","Number","1408"
"Population","2016","Males","Clare","Divorced","Number","1133"
"Population","2016","Males","Clare","Widowed","Number","1262"
"Population","2016","Males","Clare","Total","Number","58785"
"Population","2016","Males","Cork City","Single","Number","37732"
"Population","2016","Males","Cork City","Married","Number","19712"
"Population","2016","Males","Cork City","Separated","Number","1351"
"Population","2016","Males","Cork City","Divorced","Number","1321"
"Population","2016","Males","Cork City","Widowed","Number","1606"
"Population","2016","Males","Cork City","Total","Number","61722"
"Population","2016","Males","Cork County","Single","Number","111906"
"Population","2016","Males","Cork County","Married","Number","83478"
"Population","2016","Males","Cork County","Separated","Number","3937"
"Population","2016","Males","Cork County","Divorced","Number","3851"
"Population","2016","Males","Cork County","Widowed","Number","3781"
"Population","2016","Males","Cork County","Total","Number","206953"
"Population","2016","Males","Donegal","Single","Number","42725"
"Population","2016","Males","Donegal","Married","Number","31445"
"Population","2016","Males","Donegal","Separated","Number","1769"
"Population","2016","Males","Donegal","Divorced","Number","1385"
"Population","2016","Males","Donegal","Widowed","Number","1698"
"Population","2016","Males","Donegal","Total","Number","79022"
"Population","2016","Males","Dublin City","Single","Number","167682"
"Population","2016","Males","Dublin City","Married","Number","86629"
"Population","2016","Males","Dublin City","Separated","Number","6332"
"Population","2016","Males","Dublin City","Divorced","Number","5325"
"Population","2016","Males","Dublin City","Widowed","Number","6302"
"Population","2016","Males","Dublin City","Total","Number","272270"
"Population","2016","Males","Dún Laoghaire-Rathdown","Single","Number","56201"
"Population","2016","Males","Dún Laoghaire-Rathdown","Married","Number","42620"
