"Statistic Label","Census Year","Administrative Counties 2019","Marital Status","Sex","UNIT","VALUE"
"Population","2022","Carlow County Council","Single","Males","Number","17173"
"Population","2022","Carlow County Council","Single","Females","Number","15769"
"Population","2022","Carlow County Council","Single","Both Sexes","Number","32942"
"Population","2022","Carlow County Council","Married","Males","Number","11488"
"Population","2022","Carlow County Council","Married","Females","Number","11492"
"Population","2022","Carlow County Council","Married","Both Sexes","Number","22980"
"Population","2022","Carlow County Council","Separated","Males","Number","722"
"Population","2022","Carlow County Council","Separated","Females","Number","841"
"Population","2022","Carlow County Council","Separated","Both Sexes","Number","1563"
"Population","2022","Carlow County Council","Divorced","Males","Number","752"
"Population","2022","Carlow County Council","Divorced","Females","Number","1114"
"Population","2022","Carlow County Council","Divorced","Both Sexes","Number","1866"
"Population","2022","Carlow County Council","Widowed","Males","Number","687"
"Population","2022","Carlow County Council","Widowed","Females","Number","1930"
"Population","2022","Carlow County Council","Widowed","Both Sexes","Number","2617"
"Population","2022","Carlow County Council","Total","Males","Number","30822"
"Population","2022","Carlow County Council","Total","Females","Number","31146"
"Population","2022","Carlow County Council","Total","Both Sexes","Number","61968"
"Population","2022","Dublin City Council","Single","Males","Number","183308"
"Population","2022","Dublin City Council","Single","Females","Number","181323"
"Population","2022","Dublin City Council","Single","Both Sexes","Number","364631"
"Population","2022","Dublin City Council","Married","Males","Number","89409"
"Population","2022","Dublin City Council","Married","Females","Number","86683"
"Population","2022","Dublin City Council","Married","Both Sexes","Number","176092"
"Population","2022","Dublin City Council","Separated","Males","Number","6419"
"Population","2022","Dublin City Council","Separated","Females","Number","7214"
"Population","2022","Dublin City Council","Separated","Both Sexes","Number","13633"
"Population","2022","Dublin City Council","Divorced","Males","Number","6361"
"Population","2022","Dublin City Council","Divorced","Females","Number","8501"
"Population","2022","Dublin City Council","Divorced","Both Sexes","Number","14862"
"Population","2022","Dublin City Council","Widowed","Males","Number","6299"
"Population","2022","Dublin City Council","Widowed","Females","Number","17196"
"Population","2022","Dublin City Council","Widowed","Both Sexes","Number","23495"
"Population","2022","Dublin City Council","Total","Males","Number","291796"
"Population","2022","Dublin City Council","Total","Females","Number","300917"
"Population","2022","Dublin City Council","Total","Both Sexes","Number","592713"
