"Statistics","Census Year","Administrative Counties","Number of Children","Age of Child","UNIT","VALUE"
"Family units with children, by size and age of children","2022","Ireland","Families with 1 child","All children 15 and over","Number","209534"
"Family units with children, by size and age of children","2022","Ireland","Families with 1 child","All children under 15","Number","137404"
"Family units with children, by size and age of children","2022","Ireland","Families with 1 child","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Ireland","Families with 1 child","Total","Number","346938"
"Family units with children, by size and age of children","2022","Ireland","Families with 2 children","All children 15 and over","Number","110604"
"Family units with children, by size and age of children","2022","Ireland","Families with 2 children","All children under 15","Number","161045"
"Family units with children, by size and age of children","2022","Ireland","Families with 2 children","Children both under and over 15","Number","52147"
"Family units with children, by size and age of children","2022","Ireland","Families with 2 children","Total","Number","323796"
"Family units with children, by size and age of children","2022","Ireland","Families with 3 children","All children 15 and over","Number","35351"
"Family units with children, by size and age of children","2022","Ireland","Families with 3 children","All children under 15","Number","67010"
"Family units with children, by size and age of children","2022","Ireland","Families with 3 children","Children both under and over 15","Number","54799"
"Family units with children, by size and age of children","2022","Ireland","Families with 3 children","Total","Number","157160"
"Family units with children, by size and age of children","2022","Ireland","Families with 4 children","All children 15 and over","Number","7253"
"Family units with children, by size and age of children","2022","Ireland","Families with 4 children","All children under 15","Number","14364"
"Family units with children, by size and age of children","2022","Ireland","Families with 4 children","Children both under and over 15","Number","23229"
"Family units with children, by size and age of children","2022","Ireland","Families with 4 children","Total","Number","44846"
"Family units with children, by size and age of children","2022","Ireland","Families with 5 or more children","All children 15 and over","Number","1307"
"Family units with children, by size and age of children","2022","Ireland","Families with 5 or more children","All children under 15","Number","2814"
"Family units with children, by size and age of children","2022","Ireland","Families with 5 or more children","Children both under and over 15","Number","9038"
"Family units with children, by size and age of children","2022","Ireland","Families with 5 or more children","Total","Number","13159"
"Family units with children, by size and age of children","2022","Ireland","Families without children","All children 15 and over","Number","0"
"Family units with children, by size and age of children","2022","Ireland","Families without children","All children under 15","Number","0"
"Family units with children, by size and age of children","2022","Ireland","Families without children","Children both under and over 15","Number","0"
"Family units with children, by size and age of children","2022","Ireland","Families without children","Total","Number","394052"
