"Statistic Label","CensusYear","Detailed Marital Status","County and City","Sex","Age Group","UNIT","VALUE"
"Population","2011","All marital status","State","Both sexes","All ages","Number","4588252"
"Population","2011","All marital status","State","Both sexes","Under 25 years","Number","1559840"
"Population","2011","All marital status","State","Both sexes","25 - 29 years","Number","361122"
"Population","2011","All marital status","State","Both sexes","30 - 34 years","Number","393945"
"Population","2011","All marital status","State","Both sexes","35 - 39 years","Number","364261"
"Population","2011","All marital status","State","Both sexes","40 - 44 years","Number","330812"
"Population","2011","All marital status","State","Both sexes","45 - 49 years","Number","305185"
"Population","2011","All marital status","State","Both sexes","50 - 54 years","Number","274386"
"Population","2011","All marital status","State","Both sexes","55 - 59 years","Number","244522"
"Population","2011","All marital status","State","Both sexes","60 - 64 years","Number","218786"
"Population","2011","All marital status","State","Both sexes","65 - 69 years","Number","173638"
"Population","2011","All marital status","State","Both sexes","70 - 74 years","Number","131190"
"Population","2011","All marital status","State","Both sexes","75 - 79 years","Number","102036"
"Population","2011","All marital status","State","Both sexes","80 - 84 years","Number","70113"
"Population","2011","All marital status","State","Both sexes","85 years and over","Number","58416"
"Population","2011","All marital status","State","Male","All ages","Number","2272699"
"Population","2011","All marital status","State","Male","Under 25 years","Number","792087"
"Population","2011","All marital status","State","Male","25 - 29 years","Number","173714"
"Population","2011","All marital status","State","Male","30 - 34 years","Number","194774"
"Population","2011","All marital status","State","Male","35 - 39 years","Number","182237"
"Population","2011","All marital status","State","Male","40 - 44 years","Number","166330"
"Population","2011","All marital status","State","Male","45 - 49 years","Number","151516"
"Population","2011","All marital status","State","Male","50 - 54 years","Number","136737"
"Population","2011","All marital status","State","Male","55 - 59 years","Number","122121"
"Population","2011","All marital status","State","Male","60 - 64 years","Number","109869"
"Population","2011","All marital status","State","Male","65 - 69 years","Number","86298"
"Population","2011","All marital status","State","Male","70 - 74 years","Number","63476"
"Population","2011","All marital status","State","Male","75 - 79 years","Number","46631"
"Population","2011","All marital status","State","Male","80 - 84 years","Number","28423"
"Population","2011","All marital status","State","Male","85 years and over","Number","18486"
"Population","2011","All marital status","State","Female","All ages","Number","2315553"
"Population","2011","All marital status","State","Female","Under 25 years","Number","767753"
"Population","2011","All marital status","State","Female","25 - 29 years","Number","187408"
"Population","2011","All marital status","State","Female","30 - 34 years","Number","199171"
"Population","2011","All marital status","State","Female","35 - 39 years","Number","182024"
"Population","2011","All marital status","State","Female","40 - 44 years","Number","164482"
"Population","2011","All marital status","State","Female","45 - 49 years","Number","153669"
"Population","2011","All marital status","State","Female","50 - 54 years","Number","137649"
"Population","2011","All marital status","State","Female","55 - 59 years","Number","122401"
"Population","2011","All marital status","State","Female","60 - 64 years","Number","108917"
"Population","2011","All marital status","State","Female","65 - 69 years","Number","87340"
"Population","2011","All marital status","State","Female","70 - 74 years","Number","67714"
"Population","2011","All marital status","State","Female","75 - 79 years","Number","55405"
"Population","2011","All marital status","State","Female","80 - 84 years","Number","41690"
"Population","2011","All marital status","State","Female","85 years and over","Number","39930"
"Population","2011","All marital status","Carlow","Both sexes","All ages","Number","54612"
"Population","2011","All marital status","Carlow","Both sexes","Under 25 years","Number","19155"
"Population","2011","All marital status","Carlow","Both sexes","25 - 29 years","Number","4099"
"Population","2011","All marital status","Carlow","Both sexes","30 - 34 years","Number","4563"
"Population","2011","All marital status","Carlow","Both sexes","35 - 39 years","Number","4311"
"Population","2011","All marital status","Carlow","Both sexes","40 - 44 years","Number","3929"
"Population","2011","All marital status","Carlow","Both sexes","45 - 49 years","Number","3601"
"Population","2011","All marital status","Carlow","Both sexes","50 - 54 years","Number","3287"
"Population","2011","All marital status","Carlow","Both sexes","55 - 59 years","Number","2876"
"Population","2011","All marital status","Carlow","Both sexes","60 - 64 years","Number","2580"
"Population","2011","All marital status","Carlow","Both sexes","65 - 69 years","Number","2036"
"Population","2011","All marital status","Carlow","Both sexes","70 - 74 years","Number","1565"
"Population","2011","All marital status","Carlow","Both sexes","75 - 79 years","Number","1146"
"Population","2011","All marital status","Carlow","Both sexes","80 - 84 years","Number","818"
"Population","2011","All marital status","Carlow","Both sexes","85 years and over","Number","646"
"Population","2011","All marital status","Carlow","Male","All ages","Number","27431"
"Population","2011","All marital status","Carlow","Male","Under 25 years","Number","9850"
"Population","2011","All marital status","Carlow","Male","25 - 29 years","Number","2012"
"Population","2011","All marital status","Carlow","Male","30 - 34 years","Number","2260"
"Population","2011","All marital status","Carlow","Male","35 - 39 years","Number","2192"
"Population","2011","All marital status","Carlow","Male","40 - 44 years","Number","1982"
"Population","2011","All marital status","Carlow","Male","45 - 49 years","Number","1813"
"Population","2011","All marital status","Carlow","Male","50 - 54 years","Number","1641"
"Population","2011","All marital status","Carlow","Male","55 - 59 years","Number","1460"
"Population","2011","All marital status","Carlow","Male","60 - 64 years","Number","1310"
"Population","2011","All marital status","Carlow","Male","65 - 69 years","Number","996"
"Population","2011","All marital status","Carlow","Male","70 - 74 years","Number","800"
"Population","2011","All marital status","Carlow","Male","75 - 79 years","Number","535"
"Population","2011","All marital status","Carlow","Male","80 - 84 years","Number","358"
"Population","2011","All marital status","Carlow","Male","85 years and over","Number","222"
"Population","2011","All marital status","Carlow","Female","All ages","Number","27181"
"Population","2011","All marital status","Carlow","Female","Under 25 years","Number","9305"
"Population","2011","All marital status","Carlow","Female","25 - 29 years","Number","2087"
"Population","2011","All marital status","Carlow","Female","30 - 34 years","Number","2303"
"Population","2011","All marital status","Carlow","Female","35 - 39 years","Number","2119"
"Population","2011","All marital status","Carlow","Female","40 - 44 years","Number","1947"
"Population","2011","All marital status","Carlow","Female","45 - 49 years","Number","1788"
"Population","2011","All marital status","Carlow","Female","50 - 54 years","Number","1646"
"Population","2011","All marital status","Carlow","Female","55 - 59 years","Number","1416"
"Population","2011","All marital status","Carlow","Female","60 - 64 years","Number","1270"
"Population","2011","All marital status","Carlow","Female","65 - 69 years","Number","1040"
