"Statistic Label","Social Class","Age Group","Sex","Year","UNIT","VALUE"
"Life Expectancy 2006/2007","All social classes","20 years","Male","2006","Years","57.5"
"Life Expectancy 2006/2007","All social classes","20 years","Female","2006","Years","62"
"Life Expectancy 2006/2007","All social classes","35 years","Male","2006","Years","43.4"
"Life Expectancy 2006/2007","All social classes","35 years","Female","2006","Years","47.3"
"Life Expectancy 2006/2007","All social classes","65 years","Male","2006","Years","16.7"
"Life Expectancy 2006/2007","All social classes","65 years","Female","2006","Years","19.7"
"Life Expectancy 2006/2007","All social classes","Birth","Male","2006","Years","76.8"
"Life Expectancy 2006/2007","All social classes","Birth","Female","2006","Years","81.8"
"Life Expectancy 2006/2007","Professional workers","20 years","Male","2006","Years","62"
"Life Expectancy 2006/2007","Professional workers","20 years","Female","2006","Years","66.2"
"Life Expectancy 2006/2007","Professional workers","35 years","Male","2006","Years","47.4"
"Life Expectancy 2006/2007","Professional workers","35 years","Female","2006","Years","51.4"
"Life Expectancy 2006/2007","Professional workers","65 years","Male","2006","Years","19.2"
"Life Expectancy 2006/2007","Professional workers","65 years","Female","2006","Years","23.2"
"Life Expectancy 2006/2007","Professional workers","Birth","Male","2006","Years","81.4"
"Life Expectancy 2006/2007","Professional workers","Birth","Female","2006","Years","86"
"Life Expectancy 2006/2007","Managerial and technical","20 years","Male","2006","Years","60.4"
"Life Expectancy 2006/2007","Managerial and technical","20 years","Female","2006","Years","64.9"
"Life Expectancy 2006/2007","Managerial and technical","35 years","Male","2006","Years","45.8"
"Life Expectancy 2006/2007","Managerial and technical","35 years","Female","2006","Years","50"
"Life Expectancy 2006/2007","Managerial and technical","65 years","Male","2006","Years","18"
"Life Expectancy 2006/2007","Managerial and technical","65 years","Female","2006","Years","21.6"
"Life Expectancy 2006/2007","Managerial and technical","Birth","Male","2006","Years","79.8"
"Life Expectancy 2006/2007","Managerial and technical","Birth","Female","2006","Years","84.8"
"Life Expectancy 2006/2007","Non-manual","20 years","Male","2006","Years","59"
"Life Expectancy 2006/2007","Non-manual","20 years","Female","2006","Years","63.9"
"Life Expectancy 2006/2007","Non-manual","35 years","Male","2006","Years","44.6"
"Life Expectancy 2006/2007","Non-manual","35 years","Female","2006","Years","49.2"
"Life Expectancy 2006/2007","Non-manual","65 years","Male","2006","Years","17.7"
"Life Expectancy 2006/2007","Non-manual","65 years","Female","2006","Years","21"
"Life Expectancy 2006/2007","Non-manual","Birth","Male","2006","Years","78.4"
"Life Expectancy 2006/2007","Non-manual","Birth","Female","2006","Years","83.8"
"Life Expectancy 2006/2007","Skilled manual","20 years","Male","2006","Years","59"
"Life Expectancy 2006/2007","Skilled manual","20 years","Female","2006","Years","62.3"
"Life Expectancy 2006/2007","Skilled manual","35 years","Male","2006","Years","44.8"
"Life Expectancy 2006/2007","Skilled manual","35 years","Female","2006","Years","47.6"
"Life Expectancy 2006/2007","Skilled manual","65 years","Male","2006","Years","17.3"
"Life Expectancy 2006/2007","Skilled manual","65 years","Female","2006","Years","20"
"Life Expectancy 2006/2007","Skilled manual","Birth","Male","2006","Years","78.7"
"Life Expectancy 2006/2007","Skilled manual","Birth","Female","2006","Years","82.1"
"Life Expectancy 2006/2007","Semi-skilled","20 years","Male","2006","Years","58"
"Life Expectancy 2006/2007","Semi-skilled","20 years","Female","2006","Years","62"
"Life Expectancy 2006/2007","Semi-skilled","35 years","Male","2006","Years","43.9"
"Life Expectancy 2006/2007","Semi-skilled","35 years","Female","2006","Years","47.3"
"Life Expectancy 2006/2007","Semi-skilled","65 years","Male","2006","Years","17"
"Life Expectancy 2006/2007","Semi-skilled","65 years","Female","2006","Years","19.5"
"Life Expectancy 2006/2007","Semi-skilled","Birth","Male","2006","Years","77.5"
"Life Expectancy 2006/2007","Semi-skilled","Birth","Female","2006","Years","81.8"
"Life Expectancy 2006/2007","Unskilled","20 years","Male","2006","Years","55.8"
"Life Expectancy 2006/2007","Unskilled","20 years","Female","2006","Years","61.2"
"Life Expectancy 2006/2007","Unskilled","35 years","Male","2006","Years","42"
"Life Expectancy 2006/2007","Unskilled","35 years","Female","2006","Years","46.4"
"Life Expectancy 2006/2007","Unskilled","65 years","Male","2006","Years","15.6"
"Life Expectancy 2006/2007","Unskilled","65 years","Female","2006","Years","19.3"
"Life Expectancy 2006/2007","Unskilled","Birth","Male","2006","Years","75.3"
"Life Expectancy 2006/2007","Unskilled","Birth","Female","2006","Years","81"
"Life Expectancy 2006/2007","All other gainfully occupied and unknown","20 years","Male","2006","Years","50.4"
"Life Expectancy 2006/2007","All other gainfully occupied and unknown","20 years","Female","2006","Years","57.6"
"Life Expectancy 2006/2007","All other gainfully occupied and unknown","35 years","Male","2006","Years","37"
"Life Expectancy 2006/2007","All other gainfully occupied and unknown","35 years","Female","2006","Years","43.2"
"Life Expectancy 2006/2007","All other gainfully occupied and unknown","65 years","Male","2006","Years","14.4"
"Life Expectancy 2006/2007","All other gainfully occupied and unknown","65 years","Female","2006","Years","18.4"
"Life Expectancy 2006/2007","All other gainfully occupied and unknown","Birth","Male","2006","Years","70.2"
"Life Expectancy 2006/2007","All other gainfully occupied and unknown","Birth","Female","2006","Years","77.5"
