"STATISTIC Label","Graduation Year","Field of Study","NFQ Level","Nationality","UNIT","VALUE"
"Number of Graduates","2010","All fields of education","All NFQ Levels","All nationalities","Number","34570"
"Number of Graduates","2010","All fields of education","All NFQ Levels","UK","Number","550"
"Number of Graduates","2010","All fields of education","All NFQ Levels","Ireland","Number","30940"
"Number of Graduates","2010","All fields of education","All NFQ Levels","Unknown","Number","450"
"Number of Graduates","2010","All fields of education","All NFQ Levels","Africa","Number","190"
"Number of Graduates","2010","All fields of education","All NFQ Levels","Central Asia","Number","20"
"Number of Graduates","2010","All fields of education","All NFQ Levels","South Asia","Number","160"
"Number of Graduates","2010","All fields of education","All NFQ Levels","South-East Asia","Number","160"
"Number of Graduates","2010","All fields of education","All NFQ Levels","East Asia","Number","600"
"Number of Graduates","2010","All fields of education","All NFQ Levels","Mid-East","Number","50"
"Number of Graduates","2010","All fields of education","All NFQ Levels","Australia and South Pacific","Number","20"
"Number of Graduates","2010","All fields of education","All NFQ Levels","Central and South America","Number","20"
"Number of Graduates","2010","All fields of education","All NFQ Levels","Europe excluding UK and Ireland","Number","1100"
"Number of Graduates","2010","All fields of education","All NFQ Levels","North America","Number","320"
"Number of Graduates","2010","All fields of education","NFQ Level 6","All nationalities","Number","1200"
"Number of Graduates","2010","All fields of education","NFQ Level 6","UK","Number","10"
"Number of Graduates","2010","All fields of education","NFQ Level 6","Ireland","Number","1110"
"Number of Graduates","2010","All fields of education","NFQ Level 6","Unknown","Number","0"
"Number of Graduates","2010","All fields of education","NFQ Level 6","Africa","Number","20"
"Number of Graduates","2010","All fields of education","NFQ Level 6","Central Asia","Number","0"
"Number of Graduates","2010","All fields of education","NFQ Level 6","South Asia","Number","10"
"Number of Graduates","2010","All fields of education","NFQ Level 6","South-East Asia","Number","0"
"Number of Graduates","2010","All fields of education","NFQ Level 6","East Asia","Number","0"
"Number of Graduates","2010","All fields of education","NFQ Level 6","Mid-East","Number","10"
"Number of Graduates","2010","All fields of education","NFQ Level 6","Australia and South Pacific","Number","0"
"Number of Graduates","2010","All fields of education","NFQ Level 6","Central and South America","Number","0"
"Number of Graduates","2010","All fields of education","NFQ Level 6","Europe excluding UK and Ireland","Number","40"
"Number of Graduates","2010","All fields of education","NFQ Level 6","North America","Number","0"
"Number of Graduates","2010","All fields of education","NFQ Level 7","All nationalities","Number","4260"
"Number of Graduates","2010","All fields of education","NFQ Level 7","UK","Number","50"
"Number of Graduates","2010","All fields of education","NFQ Level 7","Ireland","Number","3710"
"Number of Graduates","2010","All fields of education","NFQ Level 7","Unknown","Number","10"
"Number of Graduates","2010","All fields of education","NFQ Level 7","Africa","Number","30"
"Number of Graduates","2010","All fields of education","NFQ Level 7","Central Asia","Number","0"
"Number of Graduates","2010","All fields of education","NFQ Level 7","South Asia","Number","20"
"Number of Graduates","2010","All fields of education","NFQ Level 7","South-East Asia","Number","0"
"Number of Graduates","2010","All fields of education","NFQ Level 7","East Asia","Number","70"
"Number of Graduates","2010","All fields of education","NFQ Level 7","Mid-East","Number","10"
"Number of Graduates","2010","All fields of education","NFQ Level 7","Australia and South Pacific","Number","0"
"Number of Graduates","2010","All fields of education","NFQ Level 7","Central and South America","Number","0"
"Number of Graduates","2010","All fields of education","NFQ Level 7","Europe excluding UK and Ireland","Number","350"
"Number of Graduates","2010","All fields of education","NFQ Level 7","North America","Number","10"
"Number of Graduates","2010","All fields of education","NFQ Level 8","All nationalities","Number","21660"
"Number of Graduates","2010","All fields of education","NFQ Level 8","UK","Number","370"
"Number of Graduates","2010","All fields of education","NFQ Level 8","Ireland","Number","19960"
"Number of Graduates","2010","All fields of education","NFQ Level 8","Unknown","Number","240"
