"Statistic Label","Sex","Socio Economic Group","Nationality","CensusYear","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish","2011","Number","3871238"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish","2016","Number","3977729"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-American","2011","Number","14699"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-American","2016","Number","17552"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Other","2011","Number","17726"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-Other","2016","Number","2245"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","UK","2011","Number","112259"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","UK","2016","Number","103113"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Austrian","2011","Number","720"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Austrian","2016","Number","870"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Belgian","2011","Number","1071"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Belgian","2016","Number","1262"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Danish","2011","Number","801"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Danish","2016","Number","820"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Finnish","2011","Number","868"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Finnish","2016","Number","937"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","French","2011","Number","9749"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","French","2016","Number","11661"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","German","2011","Number","11305"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","German","2016","Number","11531"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Greek","2011","Number","516"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Greek","2016","Number","1000"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Italian","2011","Number","7656"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Italian","2016","Number","11732"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Luxembourger","2011","Number","35"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Luxembourger","2016","Number","47"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Dutch","2011","Number","4313"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Dutch","2016","Number","4664"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Portuguese","2011","Number","2739"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Portuguese","2016","Number","4807"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Spanish","2011","Number","6794"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Spanish","2016","Number","12112"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Swedish","2011","Number","1713"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Swedish","2016","Number","1591"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Cypriot","2011","Number","83"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Cypriot","2016","Number","104"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Czech","2011","Number","5451"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Czech","2016","Number","4928"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Estonian","2011","Number","2560"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Estonian","2016","Number","2169"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-UK","2011","Number","13543"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Irish-UK","2016","Number","15428"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Hungarian","2011","Number","8034"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Hungarian","2016","Number","9286"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Latvian","2011","Number","20593"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Latvian","2016","Number","19933"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Lithuanian","2011","Number","36683"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Lithuanian","2016","Number","36552"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Maltese","2011","Number","180"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Maltese","2016","Number","177"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Polish","2011","Number","122585"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Polish","2016","Number","122515"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Slovak","2011","Number","10801"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Slovak","2016","Number","9717"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Slovenian","2011","Number","192"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Slovenian","2016","Number","298"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Bulgarian","2011","Number","1759"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Bulgarian","2016","Number","2621"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Romanian","2011","Number","17304"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Romanian","2016","Number","29186"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Croatian","2011","Number","846"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Croatian","2016","Number","5285"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Russian","2011","Number","3896"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Russian","2016","Number","2716"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Ukrainian","2011","Number","3343"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Ukrainian","2016","Number","1785"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Moldovan","2011","Number","2881"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Moldovan","2016","Number","1987"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Turk","2011","Number","1029"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Turk","2016","Number","1043"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Belarusian","2011","Number","969"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Belarusian","2016","Number","389"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Bosnian and Herzegovinian","2011","Number","417"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Bosnian and Herzegovinian","2016","Number","227"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Norwegian","2011","Number","493"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Norwegian","2016","Number","479"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Serbian","2011","Number","377"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Serbian","2016","Number","343"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Swiss","2011","Number","665"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Swiss","2016","Number","692"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Nigerian","2011","Number","17642"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Nigerian","2016","Number","6084"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","South African","2011","Number","4872"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","South African","2016","Number","3208"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Mauritian","2011","Number","2844"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Mauritian","2016","Number","1929"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Algerian","2011","Number","1047"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Algerian","2016","Number","595"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Congolese","2011","Number","2195"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Congolese","2016","Number","1276"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Egyptian","2011","Number","1055"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Egyptian","2016","Number","957"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Ghanaian","2011","Number","1158"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Ghanaian","2016","Number","495"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Somali","2011","Number","1178"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Somali","2016","Number","808"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Sudanese","2011","Number","1470"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Sudanese","2016","Number","830"
"Population Usually Resident and Present in the State 2011 to 2016","Both sexes","All socio-economic groups","Zimbabwean","2011","Number","1537"
